text,label
二广州恒大(2011，2012，2013赛季)广州恒大自2011升入中超后已实现中超史上第一个三连冠。,1
他认为涉深水者得蛟龙，立大志者有大作为，非志无以成学，非学无以成才，以精诚专攻之恒毅，才可见水滴穿石之神奇。,2
很多事情从我毕业的那一刻开始就变了，我想要走的路也变了，到现在还措手不及，想不通以后该怎么办，走下去还是回头,0
其实我从来不在乎别人怎么评论我，我只知道要让家人过得最好，敬一切努力，只有你们好了我才最好,2
全镇在原有80千米通村水泥路的基础上全年新增筑20千米。,1
《吃糖要快快的吃》对于糖果来说，则吃起来与苹果恰恰相反，这是因为人的口腔里有一种乳酸杆菌！能使糖发酵产生酸，粮在嘴里的时间越长。产生的乳酸越多！对牙越不利：所以……吃糖一定要快……,1
世界上最动听的情话，不是“我爱你“：不是“在一起“，而是在我最脆弱的时候，你说。“i’mhere；“,2
2。木瓜去皮，去掉中心的瓜子，取瓜肉切成菱形块。,1
《实用英语口语》在编写过程中，严格遵守《基本要求》中的“实用为主，够用为度原则，教学内容新颖，突出学生实训演练和实际应用。,1
有老鼠！！！昨晚三更半夜吵醒我！而且不只一只！三只！我在床上想睡可又被它们吵得睡不着又不敢下床赶它们只能大声的叫可是它们丝毫没有受到影响。。今晚开个灯进房都要担惊受怕。后来我妈像神一半地把它们那个窝给堵了！大神！老鼠你快走。。今天万达好多人主管给我们买东西喝好惊喜好好工作天天向上,2
由专用的数字自动控制装置，保护装置，数字接口电路和真空断路器，两组专用交流接触器等电器元件组成。,1
对速达3000系列产品的数据有着很好的兼容性。,1
3。外资并购的信号传递效应分析，《金融研究》2009年第2期。,1
我会每天反反复复给你温习一大早就莫名戳中笑点,2
人生第一次在办公室加班到现在，成就感爆棚，虽然并没有完成任务，但是收获还是挺大的，目测继续效率也不高了，回去睡觉去，晚安,2
小伙伴们注意！恐怖小丑指名道姓要来洛杉矶地区吓人，已引起警方重视！一个在instagram有数万人追踪的恐怖账号“wearecomingtocali“称，他们计划将在未来几天或几周，出现在洛杉矶县的部分城市，其中包括华人居多的pa0ena！关于近期席卷全美的恐怖小丑事件，请参阅：,1
正能量赶走所有阴霾，一切都结束啦！明天，后天，大后天，都要美美哒,2
气死人！楼上施工搅的我连书都看不好,0
我感觉自己自带美颜功能…明明没有化妆~,2
大早晨的遇到一sb，把我车撞了，自己还挺有理。,0
解剖学教学方法和教学手段的探讨。,1
终于把mv花絮看完了，饱饱会用彩蛋这个词了啊好棒啊！！还有饱含心意的皇冠猴子和兔兔啊！！,2
当年eddiehalliwell，guyornadel和davepearce这泼bbcradio的大红人把这首单曲打翻版后，跳舞大场godskitchen旋即将‘nervousbreakdown2002’收进自家大碟。,1
我想说，我这学期做的都是些什么鬼。。。一个个的。。。有什么意义！！以后再也再也不要这样了。。。,0
些许的怀念，还不错。人生就是不停的制造记忆，徘徊回忆的过着一生。,2
昨天生病难受睡觉的时候还梦到妈啦,0
真是无语的很，鱼需要水，但是水不一定需要鱼，但是如果没有代理商愿意来做，你怎么来拓展你的业务，心里有一团火在燃烧……,0
未婚妇向男方长辈认亲，敬酒，长辈赐钱还礼(俗称见面礼钱)。,1
看喜剧总是能让人一身轻松，忘掉烦恼,2
