id,likeNum,commentsLen,reposts_count,region,content,created_at,type,detailUrl,authorName,authorDetail
5167780378972116,11499,1671,1132,北京," 泱水灼灼,心照山河,《折腰》热度值破30000🎉每晚18:00,看小乔 如何以心为棋,弈济苍生。 ",2025-05-18,热门,https://weibo.com/5167780378972116/PsrhbBE3y,宋祖儿工作室,https://weibo.com/u/6215719995
5167778568078305,1967,278,30,四川,"《2025 pel 春季赛》总冠军  《星星》恭喜 获得2025 pel春季赛总决赛冠军! 《星星》一往无前决胜巅峰,高歌勐进加冕为王! 《星星》势如破竹,勇冠三军,超群绝伦,一举夺魁!",2025-05-18,热门,https://weibo.com/5167778568078305/PsregxTxf,PEL和平精英职业联赛,https://weibo.com/u/7307175708
5167715616295067,556410,35869,150266,法国,佛罗伦萨vlog《酷》,2025-05-18,热门,https://weibo.com/5167715616295067/PspAJqpDl,张凌赫z,https://weibo.com/u/7051114584
5167268947822611,7477,314,320,无,"《香港与雅安的故事》 2008年汶川地震过后,香港特区政府先后三次拨款,将90亿港元注入特区""支援四川地震灾区重建工作信托基金"",援建共183 个项目。加上香港赛马会10亿港元拨款援建7个项目和民间捐款,香港特区一共投入超过100亿港元支援灾区重建。 在香港援建的项目中,雅安市有17个教育项目,5个医疗项目,4个社会福利项目和雅安香港马会职业技术学院。 2013年4月20日发生的雅安芦山7.0地震中,位于震中的香港援建项目都经受住了强烈地震破坏的考验。芦山县初级中学,雅安市中医医院等援建项目均成为重灾区重要的避难场所,救治中心,指挥中救援物资集散中心和灾民安置点,在抗震救灾应急抢险中发挥了非常重要的作用。 2013年5月3日下午,香港立法会同意特区政府拨款1亿港元注入赈灾基金,支持芦山地震救灾工作。特区政府另从赈灾基金批出五笔共2171.8万港元的捐款给不同赈灾机构,以协助赈济灾民。 特区政府拨款落实的同时,香港民间捐款数字也在持续上升。截至2013年5月2日,香港社会各界通过中联办捐款总额达1.73亿港元,已到账1.09亿港元;捐赠奶粉1万罐。 ",2025-05-17,热门,https://weibo.com/5167268947822611/PsdYiwP19,大公文匯網,https://weibo.com/u/7476748260
5167263348950671,5028,117,133,重庆,"""男君↗我回来啦啊呜~""""小乔醉酒 热情的让魏劭招架不住""一旦接受这是懒羊羊的声音……太可爱了太可爱了太可爱了我们祖鹅宝宝太可爱了《抓狂》",2025-05-17,热门,https://weibo.com/5167263348950671/PsdPgBytF,18楼小号,https://weibo.com/u/2822143357
5167457309559510,14695,1835,3053,北京," 男单1/64决赛 王楚钦(chn)4-0南丹·纳雷什(usa)《11-6,11-4,11-2,11-4》",2025-05-18,热门,https://weibo.com/5167457309559510/PsiS6E6RE,ITTF国际乒联,https://weibo.com/u/3515112791
5167441161490763,10266,585,423,无,"  一起回顾 演唱的《赴红尘》《笨小孩》吧。愿化作清风随天际,醉眼俯瞰辽阔的天地~",2025-05-17,热门,https://weibo.com/5167441161490763/Psis46fOz,湖南卫视,https://weibo.com/u/1638629382
5166120198211860,431,117,5,北京,地铁上按耐不住不住的一对情侣,2025-05-14,同城,https://weibo.com/5166120198211860/PrK5tyshm,K24Mamba-Pekin,https://weibo.com/u/1681020097
5160483695627999,576,144,8,北京,朋友家的小玩具《哆啦a梦害怕》,2025-04-28,同城,https://weibo.com/5160483695627999/PpnslnC6b,才不是木木,https://weibo.com/u/2699015394
5167565911623668,20103,2348,686,山东,"人间惨剧啊,希望各位家长引以为戒🙏",2025-05-18,榜单,https://weibo.com/5167565911623668/PslHh6Ooc,传媒老王,https://weibo.com/u/1661598840
5167221329363574,56137,3140,867,无,"《:视频经处理后有失真等问题》""生理期不舒服去校医室开假条,被要求脱裤子证明。""5月15日,有网友发布视频称,北京工业大学耿丹学院一名女生在生理期不舒服时前往医务室请病假,被要求脱裤子以证明其身体状况。对于此事,该校发布情况通报称学校医务室值班人员工作开展符合相关流程,并指出网络传播的相关视频经处理后存在失真等问题。5月16日,该校有关工作人员回应记者表示,相关诊疗规定并非近期才开始实施,目前,学校正在考虑采取其他处理方式。 网传视频发布于5月15日中午,视频显示,一名女生在疑似校医室内向一名身穿白大褂的工作人员询问:""是不是每一个生理期的女生都要脱裤子给你们看才能开假条?""该工作人员回答说:""基本上是这样,这是学校规定的。""女生提出""拿证明给我看""的要求,该工作人员则沉默应对,未提供相关证明。记者了解到,此事发生在北京工业大学耿丹学院。 学校为什么会制定这一规定?负责处理此事的徐老师告诉记者,学校确实有这些规定,但不是最近才实施的。""我个人了解的情况是,之前有部分学生谎称自己来例假,去医务室开假条。有个女生一月开了四五次,(出这项规定)可能学校也有自己的考虑。""徐老师表示,事情发生后,学校并没有主动去寻找视频中的女学生,因为当时该学生并没有留下姓名。""我们(学校)如果特意去找她,她可能会觉得我们(学校)侵犯到隐私。""目前学校正在考虑采取其他处理方式,避免此类情况再次发生。读特新闻",2025-05-17,榜单,https://weibo.com/5167221329363574/PscJuDhTo,澎湃新闻,https://weibo.com/u/5044281310
5167654517873048,11543,289,440,无," 5月17日,河南许昌,小女孩往陌生人饮料里加洗手液,当事人称看电影期间,妹妹把柠檬水放在厕所洗手台,出来后拿起饮用发现一股肥皂味,查监控才知道怎么回事,目前当事人已报警,希望家长好好教育。",2025-05-18,榜单,https://weibo.com/5167654517873048/Pso0bx28E,点时新闻,https://weibo.com/u/7472856103
5166858399647083,22204,623,2471,江苏,我小时候的梦中情房!,2025-05-16,榜单,https://weibo.com/5166858399647083/Ps3i7EtE7,随便追追,https://weibo.com/u/1766035994
5167719839170846,29547,1586,295,上海,"感谢我的事业粉 送来的人生照片!要是她不说话的话,我会更感谢的!",2025-05-18,榜单,https://weibo.com/5167719839170846/PspHxCtKS,徐志胜1995,https://weibo.com/u/5687043680
5167722119828992,28409,1715,479,无,"5月17日,辽宁沈阳。母子未能在飞机起飞前40分钟值机错过航班大闹机场,称耽误孩子第二天公务员考试。",2025-05-18,榜单,https://weibo.com/5167722119828992/PspLdFeY8,中国蓝新闻,https://weibo.com/u/2286092114
5167602411768464,17042,1678,433,无,"此前,日本大坂的烧烤店""炭火烧鸟hayashin"",日前贴出告示用不流利的中文写:""有很多人没有礼貌,我们不允许中国顾客光临我们的商店。感谢您的理解。""对此,该烧烤店所属的餐饮控股集团""sasaya""公司12日在官网发布中文简体,日文的道歉告示。告示称,该店铺营运负责人未经公司许可,擅自张贴争议告示,公司已撤下,并为感到不快的顾客致歉。另有网友在社媒上传照片称,该店目前已经歇业,不过总公司道歉声明并未提及。(潇湘晨报记者彭昕宇)",2025-05-18,榜单,https://weibo.com/5167602411768464/PsmE97q3C,潇湘晨报,https://weibo.com/u/1655444627
5167731457655117,249382,38380,65124,北京,"一开一合之间,藏海 扭转干坤",2025-05-18,榜单,https://weibo.com/5167731457655117/Psq0hw7rD,肖战工作室,https://weibo.com/u/6643123988
5167380524696926,17113,1103,686,无,"北京东城,烤鸭店老板对前员工狂言""我保证你10年内别想拿到钱!""女法官霸气回击:""11.3万元的工资给人3000元,换谁谁能接受,查封!""据悉,查封当晚,烤鸭店给付申请人三万元,承诺后续每个月给付5000元,目前双方达成和解,烤鸭店已解除查封,正常营业中。 ",2025-05-17,榜单,https://weibo.com/5167380524696926/PsgSgjHSS,北京时间,https://weibo.com/u/2992050891
5166849352270297,49671,5505,1420,北京,"十年饮冰,难凉热血! 小米造芯路,始于2014年9月。时间过得好快,转眼十多年过去了…… 图二,图三是2017年2月小米首次芯片发布会照片。",2025-05-16,榜单,https://weibo.com/5166849352270297/Ps33x9wBH,雷军,https://weibo.com/u/1749127163
